Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
NC_009019,Tylonycteris bat coronavirus HKU4,,"Luo,C.M., Wang,N., Yang,X.L., Liu,H.Z., Zhang,W., Li,B., Hu,B., Peng,C., Geng,Q.B., Zhu,G.J., Li,F., Shi,Z.L., Woo,P.C., Lau,S.K., Li,K.S., Tsang,A.K., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Wang,M., Xu,H.F., Poon,R.W.S., Guo,R.T., Wong,B.H.L., Gao,K., Tsoi,H.W., Huang,Y., Li,K.S.M., Chan,K.H., Zheng,B.J.","National Center for Biotechnology Information, NIH",USA,2007-02-21T00:00:00Z,,Tylonycteris bat coronavirus HKU4,Betacoronavirus,Coronaviridae,ssRNA(+),30286,RefSeq,complete,,,3,China: Guangdong province,China,,Chiroptera,,,,"Tylonycteris bat coronavirus HKU4, complete genome"
NC_009020,Pipistrellus bat coronavirus HKU5,,"Lau,S.K., Li,K.S., Tsang,A.K., Lam,C.S., Ahmed,S., Chen,H., Chan,K.H., Woo,P.C., Yuen,K.Y., Woo,P.C.Y., Lau,S.K.P., Wang,M., Xu,H.F., Poon,R.W.S., Guo,R.T., Wong,B.H.L., Gao,K., Tsoi,H.W., Huang,Y., Li,K.S.M., Zheng,B.J.","National Center for Biotechnology Information, NIH",USA,2007-02-21T00:00:00Z,,Pipistrellus bat coronavirus HKU5,Betacoronavirus,Coronaviridae,ssRNA(+),30482,RefSeq,complete,,,3,China: Guangdong province,China,,Chiroptera,,,,"Pipistrellus bat coronavirus HKU5, complete genome"
NC_009021,Rousettus bat coronavirus HKU9,,"Woo,P.C.Y., Lau,S.K.P., Wang,M., Xu,H.F., Poon,R.W.S., Guo,R.T., Wong,B.H.L., Gao,K., Tsoi,H.W., Huang,Y., Li,K.S.M., Chan,K.H., Zheng,B.J., Yuen,K.Y.","National Center for Biotechnology Information, NIH",USA,2007-02-21T00:00:00Z,,Rousettus bat coronavirus HKU9,Betacoronavirus,Coronaviridae,ssRNA(+),29114,RefSeq,complete,,,1,China: Guangdong province,China,,Chiroptera,,,,"Rousettus bat coronavirus HKU9, complete genome"
ON725040,Severe acute respiratory syndrome coronavirus 2,,"Liao,Y., Xie,Z., Lan,Y., Wang,H., Pan,P., Dong,W., Liu,W.J., Zhong,W., Peng,Y., Chen,Q., Jiang,J., Gao,G.F., Ye,L., Lin,J., Wu,G., Liang,H.","Guangxi Medical University, Life Science Institute",China,2023-07-01T00:00:00Z,GX_2021,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29878,GenBank,complete,,,,China,China,,Homo sapiens,oronasopharynx,2021-06-11,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/GX_2021/2021, complete genome"
OQ968451,Severe acute respiratory syndrome coronavirus 2,,"Ao,Y.","Children's hospital of Fudan University, Department of Clinical Laboratory",China,2023-06-30T00:00:00Z,SHRJ2023-2,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29773,GenBank,complete,,,,China,China,,Homo sapiens,oronasopharynx,2022-12-09,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/SHRJ2023-2/2022, complete genome"
OQ968460,Severe acute respiratory syndrome coronavirus 2,,"Ao,Y.","Children's hospital of Fudan University, Department of Clinical Laboratory",China,2023-06-30T00:00:00Z,SHRJ2023-11,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29772,GenBank,complete,,,,China,China,,Homo sapiens,oronasopharynx,2022-12-21,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/SHRJ2023-11/2022, complete genome"
OQ968469,Severe acute respiratory syndrome coronavirus 2,,"Ao,Y.","Children's hospital of Fudan University, Department of Clinical Laboratory",China,2023-06-30T00:00:00Z,SHRJ2023-19,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29769,GenBank,complete,,,,China,China,,Homo sapiens,oronasopharynx,2023-01-16,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/SHRJ2023-19/2023, complete genome"
OQ503495,Severe acute respiratory syndrome-related coronavirus,,"Guo,H., Li,A., Dong,T.-Y., Si,H.-R., Hu,B., Li,B., Zhu,Y., Shi,Z.-L., Letko,M., Dong,T., Si,H., Shi,Z.","Wuhan Institute of Virology, Chinese Academy of Sciences, CAS Key Laboratory of Special Pathogens and Biosafety",China,2023-06-22T00:00:00Z,141341,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29657,GenBank,complete,,,,China,China,,Rhinolophus sinicus,,2014-09-02,,"Severe acute respiratory syndrome-related coronavirus isolate 141341, complete genome"
OQ503496,Severe acute respiratory syndrome-related coronavirus,,"Guo,H., Li,A., Dong,T.-Y., Si,H.-R., Hu,B., Li,B., Zhu,Y., Shi,Z.-L., Letko,M., Dong,T., Si,H., Shi,Z.","Wuhan Institute of Virology, Chinese Academy of Sciences, CAS Key Laboratory of Special Pathogens and Biosafety",China,2023-06-22T00:00:00Z,141376,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29646,GenBank,complete,,,,China,China,,Rhinolophus sinicus,,2014-09-02,,"Severe acute respiratory syndrome-related coronavirus isolate 141376, complete genome"
OQ503497,Severe acute respiratory syndrome-related coronavirus,,"Guo,H., Li,A., Dong,T.-Y., Si,H.-R., Hu,B., Li,B., Zhu,Y., Shi,Z.-L., Letko,M., Dong,T., Si,H., Shi,Z.","Wuhan Institute of Virology, Chinese Academy of Sciences, CAS Key Laboratory of Special Pathogens and Biosafety",China,2023-06-22T00:00:00Z,151491,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29648,GenBank,complete,,,,China,China,,Rhinolophus sinicus,,2015-08-29,,"Severe acute respiratory syndrome-related coronavirus isolate 151491, complete genome"
OQ503498,Severe acute respiratory syndrome-related coronavirus,,"Guo,H., Li,A., Dong,T.-Y., Si,H.-R., Hu,B., Li,B., Zhu,Y., Shi,Z.-L., Letko,M., Dong,T., Si,H., Shi,Z.","Wuhan Institute of Virology, Chinese Academy of Sciences, CAS Key Laboratory of Special Pathogens and Biosafety",China,2023-06-22T00:00:00Z,BDA190366,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),30172,GenBank,complete,,,,China,China,,Rhinolophus sinicus,,2019-04-19,,"Severe acute respiratory syndrome-related coronavirus isolate BDA190366, complete genome"
OQ503499,Severe acute respiratory syndrome-related coronavirus,,"Guo,H., Li,A., Dong,T.-Y., Si,H.-R., Hu,B., Li,B., Zhu,Y., Shi,Z.-L., Letko,M., Dong,T., Si,H., Shi,Z.","Wuhan Institute of Virology, Chinese Academy of Sciences, CAS Key Laboratory of Special Pathogens and Biosafety",China,2023-06-22T00:00:00Z,RsHB190371,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29660,GenBank,complete,,,,China,China,,Rhinolophus sinicus,,2019-04-19,,"Severe acute respiratory syndrome-related coronavirus isolate RsHB190371, complete genome"
OQ503500,Severe acute respiratory syndrome-related coronavirus,,"Guo,H., Li,A., Dong,T.-Y., Si,H.-R., Hu,B., Li,B., Zhu,Y., Shi,Z.-L., Letko,M., Dong,T., Si,H., Shi,Z.","Wuhan Institute of Virology, Chinese Academy of Sciences, CAS Key Laboratory of Special Pathogens and Biosafety",China,2023-06-22T00:00:00Z,4105,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),30385,GenBank,complete,,,,China,China,,Rhinolophus sinicus,,2012-09-18,,"Severe acute respiratory syndrome-related coronavirus isolate 4105, complete genome"
OQ503501,Severe acute respiratory syndrome-related coronavirus,,"Guo,H., Li,A., Dong,T.-Y., Si,H.-R., Hu,B., Li,B., Zhu,Y., Shi,Z.-L., Letko,M., Dong,T., Si,H., Shi,Z.","Wuhan Institute of Virology, Chinese Academy of Sciences, CAS Key Laboratory of Special Pathogens and Biosafety",China,2023-06-22T00:00:00Z,4230,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29689,GenBank,complete,,,,China,China,,Rhinolophus sinicus,,2013-04-17,,"Severe acute respiratory syndrome-related coronavirus isolate 4230, complete genome"
OQ503502,Severe acute respiratory syndrome-related coronavirus,,"Guo,H., Li,A., Dong,T.-Y., Si,H.-R., Hu,B., Li,B., Zhu,Y., Shi,Z.-L., Letko,M., Dong,T., Si,H., Shi,Z.","Wuhan Institute of Virology, Chinese Academy of Sciences, CAS Key Laboratory of Special Pathogens and Biosafety",China,2023-06-22T00:00:00Z,6301,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29674,GenBank,complete,,,,China,China,,Rhinolophus sinicus,,2014-05-07,,"Severe acute respiratory syndrome-related coronavirus isolate 6301, complete genome"
OQ503503,Severe acute respiratory syndrome-related coronavirus,,"Guo,H., Li,A., Dong,T.-Y., Si,H.-R., Hu,B., Li,B., Zhu,Y., Shi,Z.-L., Letko,M., Dong,T., Si,H., Shi,Z.","Wuhan Institute of Virology, Chinese Academy of Sciences, CAS Key Laboratory of Special Pathogens and Biosafety",China,2023-06-22T00:00:00Z,162171,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),27141,GenBank,complete,,,,China,China,,Rhinolophus sinicus,,2016-08-13,,"Severe acute respiratory syndrome-related coronavirus isolate 162171, complete genome"
OQ503504,Severe acute respiratory syndrome-related coronavirus,,"Guo,H., Li,A., Dong,T.-Y., Si,H.-R., Hu,B., Li,B., Zhu,Y., Shi,Z.-L., Letko,M., Dong,T., Si,H., Shi,Z.","Wuhan Institute of Virology, Chinese Academy of Sciences, CAS Key Laboratory of Special Pathogens and Biosafety",China,2023-06-22T00:00:00Z,162173,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),30325,GenBank,complete,,,,China,China,,Rhinolophus sinicus,,2016-08-13,,"Severe acute respiratory syndrome-related coronavirus isolate 162173, complete genome"
OQ503505,Severe acute respiratory syndrome-related coronavirus,,"Guo,H., Li,A., Dong,T.-Y., Si,H.-R., Hu,B., Li,B., Zhu,Y., Shi,Z.-L., Letko,M., Dong,T., Si,H., Shi,Z.","Wuhan Institute of Virology, Chinese Academy of Sciences, CAS Key Laboratory of Special Pathogens and Biosafety",China,2023-06-22T00:00:00Z,162181,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),30448,GenBank,complete,,,,China,China,,Rhinolophus sinicus,,2016-08-13,,"Severe acute respiratory syndrome-related coronavirus isolate 162181, complete genome"
OQ503506,Severe acute respiratory syndrome-related coronavirus,,"Guo,H., Li,A., Dong,T.-Y., Si,H.-R., Hu,B., Li,B., Zhu,Y., Shi,Z.-L., Letko,M., Dong,T., Si,H., Shi,Z.","Wuhan Institute of Virology, Chinese Academy of Sciences, CAS Key Laboratory of Special Pathogens and Biosafety",China,2023-06-22T00:00:00Z,B228,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29751,GenBank,complete,,,,China,China,,Rhinolophus thomasi,,2018-07-03,,"Severe acute respiratory syndrome-related coronavirus isolate B228, complete genome"
OR001982,Severe acute respiratory syndrome coronavirus 2,,"Wu,Y., Huang,X., Yuan,L., Wang,S., Zhang,Y., Xiong,H., Chen,R., Ma,J., Qi,R., Nie,M., Xu,J., Zhang,Z., Chen,L., Wei,M., Zhou,M., Cai,M., Shi,Y., Zhang,L., Yu,H., Hong,J., Wang,Z., Hong,Y., Yue,M., Li,Z., Chen,D., Zheng,Q., Li,S., Chen,Y., Cheng,T., Zhang,J., Zhang,T., Zhu,H., Zhao,Q., Yuan,Q., Guan,Y., Xia,N., Wang,J., Li,L., Cheung,Y.M.","The University of Hong Kong, School of Public Health",Hong Kong,2023-05-18T00:00:00Z,AP8,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29891,GenBank,complete,,,1,China: Wuhan,China,,Homo sapiens,"lung, oronasopharynx",2020-01-25,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/AP8/2020, complete genome"
OQ978950,Severe acute respiratory syndrome coronavirus 2,,"Liu,J., Zhao,B.","Chinese Academy of Medical Sciences & Peking Union Medical College, Institute of laboratory animal sciences",China,2023-05-14T00:00:00Z,ILAS-2023-1,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29780,GenBank,complete,,,,China: Beijing,China,,Homo sapiens,oronasopharynx,2023-04-30,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/ILAS-2023-1/2023, complete genome"
OK017907,Alphacoronavirus sp.,,"Zhu,W., Huang,Y., Gong,J., Dong,L., Yu,X., Chen,H., Li,D., Zhou,L., Yang,J., Lu,S., Xu,J.","National Institute for Communicable Disease Control and Prevention, Chinese Center for Disease Control and Prevention",China,2023-05-05T00:00:00Z,CD30,Alphacoronavirus sp.,Alphacoronavirus,Coronaviridae,ssRNA(+),28151,GenBank,complete,,,1,China,China,,Chiroptera,feces,2021-03,,"Alphacoronavirus sp. isolate CD30, complete genome"
OK017908,Betacoronavirus sp.,,"Zhu,W., Huang,Y., Gong,J., Dong,L., Yu,X., Chen,H., Li,D., Zhou,L., Yang,J., Lu,S., Xu,J.","National Institute for Communicable Disease Control and Prevention, Chinese Center for Disease Control and Prevention",China,2023-05-05T00:00:00Z,CD35,Betacoronavirus sp.,Betacoronavirus,Coronaviridae,ssRNA(+),31252,GenBank,complete,,,1,China,China,,Chiroptera,feces,2021-03,,"Betacoronavirus sp. isolate CD35, complete genome"
OQ469322,Hipposideros armiger Coronavirus,,"Zhu,W., Huang,Y., Gong,J., Dong,L., Yu,X., Chen,H., Li,D., Zhou,L., Yang,J., Lu,S.","National Institute for Communicable Disease Control and Prevention, Chinese Center for Disease Control and Prevention",China,2023-05-05T00:00:00Z,CD36,Hipposideros armiger Coronavirus,,Coronaviridae,ssRNA(+),31251,GenBank,complete,,,1,China,China,,Hipposideros armiger,,2021-04-01,,"Hipposideros armiger Coronavirus isolate CD36, complete genome"
OQ653372,Severe acute respiratory syndrome coronavirus 2,,"Li,E., Guo,X., Zhu,F., Chiu,S.","University of Science and Technology of China, Division of Life Sciences and Medicine",China,2023-03-19T00:00:00Z,Hefei_USTC-HF0112,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29795,GenBank,complete,,,,China,China,,Homo sapiens,,2022-12-30,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/Hefei_USTC-HF0112/2022, complete genome"
OQ653373,Severe acute respiratory syndrome coronavirus 2,,"Li,E., Guo,X., Zhu,F., Chiu,S.","University of Science and Technology of China, Division of Life Sciences and Medicine",China,2023-03-19T00:00:00Z,Hefei_USTC-HF0212,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29794,GenBank,complete,,,,China,China,,Homo sapiens,,2022-12-30,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/Hefei_USTC-HF0212/2022, complete genome"
OQ586439,Severe acute respiratory syndrome coronavirus 2,,"Yang,W., Chen,Z., Zhu,R., Chang,H.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2023-03-08T00:00:00Z,LA-5043,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,oronasopharynx,2021-05-13,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/LA-5043/2021, complete genome"
OQ586440,Severe acute respiratory syndrome coronavirus 2,,"Yang,W., Chen,Z., Zhu,R., Chang,H.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2023-03-08T00:00:00Z,LA-7305,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,oronasopharynx,2021-05-21,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/LA-7305/2021, complete genome"
OQ586441,Severe acute respiratory syndrome coronavirus 2,,"Yang,W., Chen,Z., Zhu,R., Chang,H.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2023-03-08T00:00:00Z,LA-7792,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,oronasopharynx,2021-05-23,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/LA-7792/2021, complete genome"
OQ586645,Severe acute respiratory syndrome coronavirus 2,,"Yang,W., Chen,Z., Gao,D., Zhang,L., Zhu,R., Zhang,Q., Zhang,F., Chen,B., Li,Z., Chang,H.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2023-03-08T00:00:00Z,LA-2341,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,oronasopharynx,2022-04-03,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/LA-2341/2022, complete genome"
OQ586646,Severe acute respiratory syndrome coronavirus 2,,"Yang,W., Chen,Z., Gao,D., Zhang,L., Zhu,R., Zhang,Q., Zhang,F., Chen,B., Li,Z., Chang,H.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2023-03-08T00:00:00Z,LA-2346,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,oronasopharynx,2022-04-03,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/LA-2346/2022, complete genome"
OQ586647,Severe acute respiratory syndrome coronavirus 2,,"Yang,W., Chen,Z., Gao,D., Zhang,L., Zhu,R., Zhang,Q., Zhang,F., Chen,B., Li,Z., Chang,H.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2023-03-08T00:00:00Z,LA-2354,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,oronasopharynx,2022-04-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/LA-2354/2022, complete genome"
OQ586648,Severe acute respiratory syndrome coronavirus 2,,"Yang,W., Chen,Z., Gao,D., Zhang,L., Zhu,R., Zhang,Q., Zhang,F., Chen,B., Li,Z., Chang,H.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2023-03-08T00:00:00Z,LA-2363,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,,2022-04-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/LA-2363/2022, complete genome"
OQ586649,Severe acute respiratory syndrome coronavirus 2,,"Yang,W., Chen,Z., Gao,D., Zhang,L., Zhu,R., Zhang,Q., Zhang,F., Chen,B., Li,Z., Chang,H.","Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory",China,2023-03-08T00:00:00Z,LA-2386,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,GenBank,complete,,,,China: Lu'an,China,,Homo sapiens,,2022-04-04,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/CHN/LA-2386/2022, complete genome"
